propagation success probability	0.05	 Consensus times	100	 Failed times	100
propagation success probability	0.1	 Consensus times	100	 Failed times	100
propagation success probability	0.15	 Consensus times	100	 Failed times	100
propagation success probability	0.2	 Consensus times	100	 Failed times	100
propagation success probability	0.25	 Consensus times	100	 Failed times	100
propagation success probability	0.3	 Consensus times	100	 Failed times	100
propagation success probability	0.35	 Consensus times	100	 Failed times	100
propagation success probability	0.4	 Consensus times	100	 Failed times	100
propagation success probability	0.45	 Consensus times	100	 Failed times	100
propagation success probability	0.5	 Consensus times	100	 Failed times	100
propagation success probability	0.55	 Consensus times	100	 Failed times	100
propagation success probability	0.6	 Consensus times	100	 Failed times	100
propagation success probability	0.65	 Consensus times	100	 Failed times	100
propagation success probability	0.7	 Consensus times	100	 Failed times	100
propagation success probability	0.75	 Consensus times	100	 Failed times	100
propagation success probability	0.8	 Consensus times	100	 Failed times	100
propagation success probability	0.8	 Consensus times	100	 Failed times	100
propagation success probability	0.85	 Consensus times	100	 Failed times	100
propagation success probability	0.9	 Consensus times	100	 Failed times	100
propagation success probability	0.95	 Consensus times	100	 Failed times	88
